player_id,first_name,last_name,years,team,age,dollars,avg_salary
3,Blake,Griffin ,2017-2021,DETSigned w/LAC,29,171174820,34234964
4,James,Harden ,2019-2022,HOU,28,169344000,42336000
5,John,Wall ,2019-2022,WAS,27,169344000,42336000
6,Mike,Conley ,2016-2020,MEM,30,152605576,30521115
7,Joel,Embiid ,2018-2022,PHI,24,146450000,29290000
9,Damian,Lillard ,2016-2020,POR,27,139888445,27977689
10,DeMar,DeRozan ,2016-2020,TOR,28,139000000,27800000
11,Jrue,Holiday ,2017-2021,NOP,27,131805000,26361000
12,Gordon,Hayward ,2017-2020,BOS,28,127829970,31957493
14,Bradley,Beal ,2016-2020,WAS,24,127171313,25434263
17,Nicolas,Batum ,2016-2020,CHA,29,120000000,24000000
18,James,Harden ,2016-2019,HOU,28,117964846,29491212
21,Kevin,Love ,2015-2019,CLE,29,113211750,22642350
23,C.J.,McCollum ,2017-2020,POR,26,106633449,26658362
24,Otto,Porter,2017-2020,WAS,24,106524975,26631244
25,Rudy,Gobert ,2017-2020,UTH,25,102000000,25500000
27,Steven,Adams ,2017-2020,OKC,24,100000000,25000000
28,Giannis,Antetokounmpo,2017-2020,MIL,23,100000000,25000000
30,Hassan,Whiteside ,2016-2019,MIA,28,98419538,24604885
31,Harrison,Barnes ,2016-2019,DAL,25,94438525,23609631
32,Chandler,Parsons ,2016-2019,MEM,29,94438523,23609631
33,Kyrie,Irving ,2015-2019,BOSSigned w/CLE,26,94343126,18868625
34,Kawhi,Leonard ,2015-2019,SAS,26,94343126,18868625
35,Jimmy,Butler ,2015-2019,MINSigned w/CHI,28,92339878,18467976
36,Paul,George ,2014-2018,OKCSigned w/IND,27,91572660,18314532
37,DeAndre,Jordan ,2015-2018,LAC,29,87616050,21904013
38,Russell,Westbrook ,2016-2018,OKC,29,85591823,28530608
40,Evan,Fournier ,2016-2020,ORL,25,85000000,17000000
41,Victor,Oladipo ,2017-2020,INDSigned w/OKC,25,85000000,21250000
42,John,Wall ,2014-2018,WAS,27,84789500,16957900
44,Gary,Harris ,2018-2021,DEN,23,84000000,21000000
45,Tristan,Thompson ,2015-2019,CLE,27,82000000,16400000
46,Draymond,Green ,2015-2019,GSW,28,82000000,16400000
47,Ryan,Anderson ,2016-2019,HOU,29,80000000,20000000
48,Reggie,Jackson ,2015-2019,DET,28,80000000,16000000
52,Bismack,Biyombo ,2016-2019,ORL,25,72000000,18000000
53,Tim,Hardaway,2017-2020,NYK,26,70950000,17737500
56,Enes,Kanter ,2015-2018,NYKSigned w/OKC,25,70060026,17515007
57,Evan,Turner ,2016-2019,POR,29,70000000,17500000
